Timestamp,Ax,Ay,Az,Magnitude,ADC,Statut
10:26:36.465,-0.014,0.107,1.003,1.008,0.00,OK
10:26:36.519,-0.014,0.107,1.003,1.009,0.00,OK
10:26:36.572,-0.015,0.109,1.003,1.009,0.00,OK
10:26:36.629,-0.015,0.107,1.003,1.009,0.00,OK
10:26:36.681,-0.014,0.108,1.003,1.009,0.00,OK
10:26:36.734,-0.015,0.109,1.004,1.010,0.00,OK
10:26:36.787,-0.014,0.108,1.004,1.010,0.00,OK
10:26:36.840,-0.015,0.108,1.003,1.009,0.00,OK
10:26:36.893,-0.014,0.108,1.004,1.010,0.00,OK
10:26:36.946,-0.015,0.108,1.004,1.010,0.00,OK
10:26:36.999,-0.015,0.108,1.004,1.010,0.00,OK
10:26:37.051,-0.014,0.108,1.004,1.010,0.00,OK
10:26:37.104,-0.014,0.108,1.004,1.009,0.00,OK
10:26:37.157,-0.015,0.107,1.004,1.010,0.00,OK
10:26:37.210,-0.014,0.108,1.004,1.010,0.00,OK
10:26:37.263,-0.014,0.107,1.004,1.010,0.00,OK
10:26:37.316,-0.014,0.108,1.005,1.011,0.00,OK
10:26:37.368,-0.015,0.109,1.005,1.011,0.00,OK
10:26:37.421,-0.014,0.107,1.004,1.010,0.00,OK
10:26:37.474,-0.021,0.109,1.004,1.010,0.00,OK
10:26:37.527,0.016,0.091,1.006,1.010,0.00,OK
10:26:37.579,-0.017,0.114,1.002,1.009,0.00,OK
10:26:37.632,-0.023,0.159,0.980,0.993,0.00,OK
10:26:37.685,-0.049,0.058,1.041,1.044,0.00,OK
10:26:37.738,0.026,0.117,0.989,0.996,0.00,OK
10:26:37.790,-0.024,0.056,1.000,1.002,0.00,OK
10:26:37.843,-0.010,0.041,1.011,1.012,0.00,OK
10:26:37.900,0.000,0.000,0.000,0.000,0.00,ERR: [Errno 5] Input/output error
10:26:37.951,0.000,0.000,0.000,0.000,0.00,ERR: [Errno 5] Input/output error
10:26:38.003,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:38.158,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:38.211,-0.072,0.210,1.027,1.050,0.00,OK
10:26:38.263,-0.003,0.061,0.952,0.954,0.00,OK
10:26:38.316,-0.017,0.038,0.998,0.999,0.00,OK
10:26:38.369,-0.023,0.046,1.013,1.014,0.00,OK
10:26:38.422,-0.016,0.048,1.011,1.013,0.00,OK
10:26:38.475,-0.017,0.032,1.003,1.004,0.00,OK
10:26:38.528,-0.020,0.028,1.005,1.005,0.00,OK
10:26:38.581,-0.004,0.020,1.010,1.011,0.00,OK
10:26:38.634,-0.019,0.033,1.011,1.012,0.00,OK
10:26:38.687,-0.020,0.028,1.008,1.009,0.00,OK
10:26:38.740,-0.012,0.025,1.009,1.009,0.00,OK
10:26:38.793,-0.017,0.029,1.011,1.011,0.00,OK
10:26:38.846,-0.016,0.030,1.010,1.011,0.00,OK
10:26:38.899,-0.017,0.030,1.011,1.011,0.00,OK
10:26:38.952,-0.017,0.031,1.011,1.011,0.00,OK
10:26:39.005,-0.017,0.030,1.011,1.012,0.00,OK
10:26:39.058,-0.015,0.029,1.011,1.012,0.00,OK
10:26:39.111,-0.017,0.029,1.011,1.011,0.00,OK
10:26:39.163,-0.016,0.030,1.010,1.010,0.00,OK
10:26:39.216,-0.016,0.031,1.011,1.012,0.00,OK
10:26:39.269,-0.015,0.030,1.012,1.012,0.00,OK
10:26:39.323,-0.014,0.034,1.012,1.013,0.00,OK
10:26:39.376,-0.014,0.027,1.011,1.012,0.00,OK
10:26:39.429,-0.015,0.030,1.011,1.011,0.00,OK
10:26:39.482,-0.016,0.030,1.011,1.012,0.00,OK
10:26:39.535,-0.016,0.030,1.010,1.011,0.00,OK
10:26:39.588,-0.016,0.030,1.011,1.012,0.00,OK
10:26:39.640,-0.019,0.027,1.010,1.010,0.00,OK
10:26:39.693,-0.017,0.032,1.012,1.012,0.00,OK
10:26:39.746,-0.016,0.029,1.010,1.010,0.00,OK
10:26:39.799,-0.016,0.029,1.011,1.011,0.00,OK
10:26:39.851,-0.016,0.031,1.011,1.012,0.00,OK
10:26:39.904,-0.016,0.031,1.011,1.011,0.00,OK
10:26:39.957,-0.016,0.030,1.010,1.011,0.00,OK
10:26:40.010,-0.017,0.031,1.010,1.011,0.00,OK
10:26:40.062,-0.035,0.023,1.009,1.010,0.00,OK
10:26:40.115,-0.002,0.022,1.011,1.011,0.00,OK
10:26:40.168,-0.017,0.047,1.022,1.023,0.00,OK
10:26:40.221,-0.017,0.045,1.017,1.018,0.00,OK
10:26:40.273,-0.016,0.046,1.011,1.012,0.00,OK
10:26:40.326,-0.018,0.049,1.016,1.018,0.00,OK
10:26:40.379,-0.015,0.036,1.008,1.009,0.00,OK
10:26:40.431,-0.025,0.027,1.013,1.013,0.00,OK
10:26:40.484,-0.009,0.045,1.010,1.011,0.00,OK
10:26:40.537,-0.009,0.049,1.011,1.012,0.00,OK
10:26:40.589,-0.021,0.041,1.011,1.012,0.00,OK
10:26:40.642,-0.008,0.032,1.011,1.012,0.00,OK
10:26:40.695,-0.014,0.017,0.982,0.982,0.00,OK
10:26:40.748,-0.018,0.064,1.016,1.018,0.00,OK
10:26:40.801,-0.018,0.052,1.009,1.011,0.00,OK
10:26:40.854,-0.013,0.061,1.009,1.011,0.00,OK
10:26:40.906,-0.017,0.051,1.008,1.009,0.00,OK
10:26:40.959,-0.015,0.046,1.008,1.009,0.00,OK
10:26:41.012,-0.017,0.048,1.010,1.011,0.00,OK
10:26:41.064,-0.016,0.046,1.010,1.011,0.00,OK
10:26:41.117,-0.017,0.049,1.012,1.013,0.00,OK
10:26:41.170,-0.015,0.046,1.008,1.009,0.00,OK
10:26:41.222,-0.064,0.051,1.008,1.012,0.00,OK
10:26:41.275,-0.014,0.053,1.013,1.014,0.00,OK
10:26:41.328,-0.006,0.050,1.010,1.011,0.00,OK
10:26:41.381,-0.011,0.062,1.009,1.011,0.00,OK
10:26:41.433,-0.225,0.007,1.008,1.033,0.00,OK
10:26:41.486,0.193,0.194,1.005,1.041,0.00,OK
10:26:41.540,-0.009,-0.002,1.243,1.243,0.00,OK
10:26:41.592,-0.049,0.133,1.047,1.056,0.00,OK
10:26:41.645,-0.289,0.288,1.061,1.137,0.00,OK
10:26:41.698,-0.317,0.256,0.944,1.029,0.00,OK
10:26:41.750,-0.278,0.120,0.793,0.849,0.00,OK
10:26:41.803,-0.239,0.155,0.667,0.725,0.00,OK
10:26:41.856,-0.264,0.272,0.989,1.059,0.00,OK
10:26:41.908,0.029,0.137,0.920,0.930,0.00,OK
10:26:41.961,0.074,0.299,1.215,1.253,0.00,OK
10:26:42.014,-0.098,0.240,1.119,1.149,0.00,OK
10:26:42.067,-0.037,0.326,1.162,1.208,0.00,OK
10:26:42.119,-0.326,0.223,0.991,1.067,0.00,OK
10:26:42.172,-0.312,0.117,0.657,0.737,0.00,OK
10:26:42.225,-0.439,0.232,0.709,0.866,0.00,OK
10:26:42.278,-0.621,0.220,0.765,1.010,0.00,OK
10:26:42.331,-0.275,0.174,1.034,1.084,0.00,OK
10:26:42.384,-0.013,0.068,0.877,0.880,0.00,OK
10:26:42.435,0.000,0.000,0.000,0.000,0.00,ERR: [Errno 5] Input/output error
10:26:42.486,0.000,0.000,0.000,0.000,0.00,ERR: [Errno 5] Input/output error
10:26:42.538,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:42.591,0.118,0.446,1.115,1.207,0.00,OK
10:26:42.644,-0.287,0.442,1.042,1.168,0.00,OK
10:26:42.697,-0.236,0.236,0.775,0.844,0.00,OK
10:26:42.749,-0.332,0.324,0.864,0.981,0.00,OK
10:26:42.802,-0.585,0.331,0.744,1.003,0.00,OK
10:26:42.855,-0.508,0.267,0.723,0.923,0.00,OK
10:26:42.908,-0.390,0.245,0.836,0.954,0.00,OK
10:26:42.961,-0.090,0.277,0.942,0.986,0.00,OK
10:26:43.013,-0.288,0.401,1.160,1.261,0.00,OK
10:26:43.066,-0.063,0.344,0.934,0.998,0.00,OK
10:26:43.119,-0.080,0.323,0.922,0.981,0.00,OK
10:26:43.172,-0.193,0.227,0.812,0.865,0.00,OK
10:26:43.224,-0.455,0.284,0.796,0.960,0.00,OK
10:26:43.277,-0.402,0.358,1.049,1.180,0.00,OK
10:26:43.330,-0.350,0.339,0.884,1.009,0.00,OK
10:26:43.382,-0.435,0.298,0.842,0.994,0.00,OK
10:26:43.435,-0.312,0.250,0.733,0.835,0.00,OK
10:26:43.488,-0.314,0.296,0.816,0.923,0.00,OK
10:26:43.540,-0.127,0.337,1.032,1.093,0.00,OK
10:26:43.593,-0.128,0.316,0.930,0.990,0.00,OK
10:26:43.646,-0.213,0.400,1.075,1.167,0.00,OK
10:26:43.699,-0.139,0.369,0.924,1.005,0.00,OK
10:26:43.751,-0.487,0.387,0.959,1.143,0.00,OK
10:26:43.804,-0.322,0.248,0.826,0.921,0.00,OK
10:26:43.857,-0.505,0.266,0.706,0.908,0.00,OK
10:26:43.909,-0.584,0.290,0.661,0.928,0.00,OK
10:26:43.962,-0.437,0.284,0.732,0.898,0.00,OK
10:26:44.015,-0.271,0.356,0.931,1.033,0.00,OK
10:26:44.068,-0.129,0.319,0.842,0.909,0.00,OK
10:26:44.121,-0.151,0.407,1.036,1.123,0.00,OK
10:26:44.174,-0.081,0.462,0.998,1.102,0.00,OK
10:26:44.227,-0.256,0.355,0.776,0.891,0.00,OK
10:26:44.279,0.000,0.000,0.000,0.000,0.00,ERR: [Errno 5] Input/output error
10:26:44.330,0.000,0.000,0.000,0.000,0.00,ERR: [Errno 5] Input/output error
10:26:44.384,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:44.436,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:44.487,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:44.539,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:44.591,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:44.642,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:44.694,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:44.746,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:44.797,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:44.849,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:44.901,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:44.952,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.004,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.056,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.107,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.160,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.212,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.263,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.315,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.367,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.419,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.471,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.523,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.575,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.626,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.679,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.731,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.784,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.836,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.888,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.940,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:45.991,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.043,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.095,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.147,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.199,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.251,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.302,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.355,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.407,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.460,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.512,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.564,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.617,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.669,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.721,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.773,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.824,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.876,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.928,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:46.981,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.033,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.085,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.137,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.189,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.241,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.293,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.344,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.396,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.448,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.500,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.552,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.604,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.656,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.708,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.760,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.811,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.863,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.915,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:47.966,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:48.018,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:48.070,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:48.122,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:48.173,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:48.225,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:48.277,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:48.329,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:48.381,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:48.433,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:48.484,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
10:26:48.536,0.000,0.000,0.000,0.000,0.00,RECONNEXION...
