Timestamp,Ax,Ay,Az,Magnitude,ADC,Statut
09:12:36.763,0.218,0.004,0.968,0.992,0.00,OK
09:12:36.817,0.219,-0.019,0.973,0.998,0.00,OK
09:12:36.870,0.192,0.072,0.911,0.933,0.00,OK
09:12:36.924,0.131,0.246,0.909,0.951,0.00,OK
09:12:36.977,0.169,0.195,1.062,1.093,0.00,OK
09:12:37.030,0.161,-0.012,0.851,0.866,0.00,OK
09:12:37.083,0.364,-0.402,1.024,1.158,0.00,OK
09:12:37.136,0.330,-0.412,0.750,0.918,0.00,OK
09:12:37.189,0.404,-0.650,0.784,1.095,0.00,OK
09:12:37.243,0.403,-0.545,0.708,0.980,0.00,OK
09:12:37.297,0.352,-0.603,0.583,0.909,0.00,OK
09:12:37.350,0.468,-0.665,0.783,1.129,0.00,OK
09:12:37.403,0.475,-0.529,0.962,1.197,0.00,OK
09:12:37.461,0.152,0.158,0.919,0.945,0.00,OK
09:12:37.516,0.118,-0.138,0.896,0.914,0.00,OK
09:12:37.570,0.079,0.087,0.927,0.935,0.00,OK
09:12:37.623,0.112,0.076,0.945,0.955,0.00,OK
09:12:37.677,0.072,0.323,0.963,1.018,0.00,OK
09:12:37.730,0.158,0.240,1.114,1.150,0.00,OK
09:12:37.783,-0.025,0.482,0.799,0.933,0.00,OK
09:12:37.837,0.080,0.243,0.983,1.016,0.00,OK
09:12:37.891,0.128,0.287,1.075,1.120,0.00,OK
09:12:37.944,0.039,0.435,0.940,1.037,0.00,OK
09:12:37.997,0.050,0.328,1.001,1.055,0.00,OK
09:12:38.051,0.057,0.271,0.991,1.029,0.00,OK
09:12:38.105,0.091,0.164,0.963,0.981,0.00,OK
09:12:38.159,0.233,-0.036,0.995,1.022,0.00,OK
09:12:38.214,0.322,-0.069,1.115,1.162,0.00,OK
09:12:38.268,0.325,-0.248,0.941,1.026,0.00,OK
09:12:38.322,0.238,-0.188,0.801,0.856,0.00,OK
09:12:38.376,0.355,-0.251,1.067,1.152,0.00,OK
09:12:38.430,0.310,-0.232,0.862,0.945,0.00,OK
09:12:38.482,0.267,-0.165,0.930,0.981,0.00,OK
09:12:38.535,0.272,-0.184,0.986,1.040,0.00,OK
09:12:38.588,0.257,-0.137,0.978,1.020,0.00,OK
09:12:38.642,0.252,-0.116,0.994,1.032,0.00,OK
09:12:38.695,0.234,-0.150,0.970,1.009,0.00,OK
09:12:38.750,0.142,-0.036,0.884,0.896,0.00,OK
09:12:38.802,0.131,0.117,0.995,1.010,0.00,OK
09:12:38.858,0.098,0.120,0.908,0.921,0.00,OK
09:12:38.912,0.124,0.394,0.969,1.054,0.00,OK
09:12:38.966,0.277,0.251,1.123,1.184,0.00,OK
09:12:39.019,0.147,0.387,0.878,0.970,0.00,OK
09:12:39.074,0.243,0.065,0.816,0.854,0.00,OK
09:12:39.128,0.300,0.336,1.066,1.157,0.00,OK
09:12:39.183,0.379,0.101,1.117,1.184,0.00,OK
09:12:39.239,0.386,-0.139,0.741,0.846,0.00,OK
09:12:39.297,0.466,-0.195,0.855,0.993,0.00,OK
09:12:39.356,0.492,-0.275,0.858,1.027,0.00,OK
09:12:39.413,0.421,-0.245,0.908,1.030,0.00,OK
09:12:39.470,0.394,-0.329,0.810,0.959,0.00,OK
09:12:39.523,0.338,-0.354,0.856,0.986,0.00,OK
09:12:39.576,0.264,-0.127,1.000,1.042,0.00,OK
09:12:39.628,0.223,-0.198,0.979,1.024,0.00,OK
09:12:39.681,0.098,-0.050,1.032,1.038,0.00,OK
09:12:39.734,-0.028,0.191,1.053,1.070,0.00,OK
09:12:39.788,0.039,0.096,0.989,0.995,0.00,OK
09:12:39.842,0.021,0.301,0.974,1.020,0.00,OK
09:12:39.895,0.017,0.208,0.949,0.972,0.00,OK
09:12:39.949,-0.002,0.257,0.812,0.852,0.00,OK
09:12:40.002,0.067,0.207,0.926,0.951,0.00,OK
09:12:40.059,0.107,0.307,1.042,1.091,0.00,OK
09:12:40.113,0.091,0.172,0.978,0.998,0.00,OK
09:12:40.167,0.030,0.197,0.901,0.923,0.00,OK
09:12:40.221,0.079,0.161,0.961,0.978,0.00,OK
09:12:40.274,0.122,0.123,0.957,0.972,0.00,OK
09:12:40.328,0.181,0.201,0.989,1.025,0.00,OK
09:12:40.382,0.266,0.009,0.984,1.019,0.00,OK
09:12:40.436,0.330,0.146,1.153,1.208,0.00,OK
09:12:40.489,0.348,-0.029,0.980,1.040,0.00,OK
09:12:40.544,0.279,0.112,0.907,0.955,0.00,OK
09:12:40.598,0.385,-0.049,0.962,1.037,0.00,OK
