Timestamp,Ax,Ay,Az,Magnitude,ADC,Statut
12:55:12.339,-0.039,0.053,0.981,0.983,0.00,OK
12:55:12.392,-0.013,0.023,1.048,1.048,0.00,OK
12:55:12.500,-0.031,0.017,1.016,1.016,0.00,OK
12:55:12.554,-0.022,0.060,0.996,0.998,0.00,OK
12:55:12.611,-0.070,0.022,0.953,0.956,0.00,OK
12:55:12.664,0.068,0.101,1.065,1.072,0.00,OK
12:55:12.717,-0.024,0.171,1.012,1.027,0.00,OK
12:55:12.773,-0.048,0.165,0.933,0.949,0.00,OK
12:55:12.827,-0.042,0.175,1.049,1.065,0.00,OK
12:55:12.882,-0.040,0.115,1.036,1.043,0.00,OK
12:55:12.936,-0.137,-0.057,0.887,0.900,0.00,OK
12:55:12.991,-0.086,-0.021,0.935,0.939,0.00,OK
12:55:13.045,-0.083,-0.044,1.009,1.014,0.00,OK
12:55:13.099,-0.081,-0.110,0.993,1.002,0.00,OK
12:55:13.157,-0.089,0.028,0.983,0.988,0.00,OK
12:55:13.211,-0.068,0.158,0.876,0.893,0.00,OK
12:55:13.265,-0.132,0.420,1.016,1.107,0.00,OK
12:55:13.320,-0.071,0.330,1.045,1.098,0.00,OK
12:55:13.377,-0.095,0.336,0.878,0.945,0.00,OK
12:55:13.432,-0.091,0.362,1.057,1.121,0.00,OK
12:55:13.488,-0.113,0.248,0.995,1.032,0.00,OK
12:55:13.543,-0.097,0.014,0.949,0.954,0.00,OK
12:55:13.597,-0.082,-0.078,1.073,1.079,0.00,OK
12:55:13.653,-0.119,-0.178,0.945,0.969,0.00,OK
12:55:13.708,-0.077,-0.248,0.889,0.926,0.00,OK
12:55:13.764,-0.107,-0.217,1.000,1.029,0.00,OK
12:55:13.829,-0.094,-0.161,1.036,1.053,0.00,OK
12:55:13.887,-0.118,-0.162,0.941,0.962,0.00,OK
12:55:13.941,-0.095,0.092,1.047,1.055,0.00,OK
12:55:14.000,-0.107,0.154,0.958,0.976,0.00,OK
12:55:14.053,-0.069,0.175,1.054,1.071,0.00,OK
12:55:14.110,-0.077,0.177,1.001,1.020,0.00,OK
12:55:14.164,-0.128,0.207,0.968,0.999,0.00,OK
12:55:14.220,-0.124,0.318,0.973,1.031,0.00,OK
12:55:14.274,-0.150,0.193,0.928,0.960,0.00,OK
12:55:14.331,-0.123,-0.001,1.047,1.055,0.00,OK
12:55:14.387,-0.139,-0.120,0.979,0.996,0.00,OK
